LON;LAT;NUMBER;STREET
18.0075619;59.3305795;11;Adlerbethsgatan
18.0063375;59.3308035;13;Adlerbethsgatan
18.0057068;59.3309115;15;Adlerbethsgatan
18.0050642;59.331026;17;Adlerbethsgatan
18.004292;59.3311034;19;Adlerbethsgatan
18.0039163;59.3314632;20;Adlerbethsgatan
18.0039021;59.3312314;21;Adlerbethsgatan
18.0031503;59.3313717;23;Adlerbethsgatan
18.0025249;59.3314838;25;Adlerbethsgatan
18.0018918;59.3317385;29;Adlerbethsgatan
17.9980234;59.3320161;35;Adlerbethsgatan
17.9965909;59.3318816;36;Adlerbethsgatan
17.9965944;59.3318162;38;Adlerbethsgatan
18.0626615;59.3378416;1;Adolf Fredriks Kyrkogata
18.0626306;59.3379365;2;Adolf Fredriks Kyrkogata
18.0625235;59.3378074;3;Adolf Fredriks Kyrkogata
18.0623923;59.3377672;3A;Adolf Fredriks Kyrkogata
18.0610592;59.3374381;5;Adolf Fredriks Kyrkogata
18.0595499;59.3371941;8;Adolf Fredriks Kyrkogata
18.0604798;59.3372765;9A;Adolf Fredriks Kyrkogata
18.0603178;59.3372343;9B;Adolf Fredriks Kyrkogata
18.0591613;59.337091;10;Adolf Fredriks Kyrkogata
18.0598014;59.3371048;11;Adolf Fredriks Kyrkogata
18.0587345;59.3369778;12;Adolf Fredriks Kyrkogata
18.0595658;59.337042;13;Adolf Fredriks Kyrkogata
18.0596058;59.3367942;13A;Adolf Fredriks Kyrkogata
18.0591476;59.3369283;15;Adolf Fredriks Kyrkogata
18.1042193;59.3229241;1;Af Pontins Väg
18.1038866;59.3229776;2;Af Pontins Väg
18.1038385;59.3227685;4;Af Pontins Väg
18.1037561;59.3226124;4X;Af Pontins Väg
18.1042337;59.3226567;5;Af Pontins Väg
18.1039676;59.3224719;6;Af Pontins Väg
18.0966855;59.3542766;4;Ahlsellvägen
18.0969733;59.354255;6;Ahlsellvägen
18.0966212;59.3544665;8;Ahlsellvägen
18.0963663;59.3544842;10;Ahlsellvägen
18.0959469;59.3548067;12;Ahlsellvägen
18.0956888;59.3548257;14;Ahlsellvägen
18.0954116;59.3548462;16;Ahlsellvägen
18.0952114;59.3548609;18;Ahlsellvägen
18.0949621;59.3548792;20;Ahlsellvägen
18.0947067;59.3548981;22;Ahlsellvägen
18.0946341;59.3548417;24;Ahlsellvägen
18.0646337;59.3288901;3;Akademigränd
18.064792;59.328933;6;Akademigränd
18.1044597;59.3020099;2;Aktergatan
18.1045309;59.3020252;4;Aktergatan
18.1041887;59.3021078;5;Aktergatan
18.1048255;59.3018906;6A;Aktergatan
18.1049004;59.3018649;6B;Aktergatan
18.1042358;59.3021429;7;Aktergatan
18.1055273;59.302298;8;Aktergatan
18.104356;59.3022354;9;Aktergatan
18.1048146;59.3020006;10;Aktergatan
18.1043968;59.3022652;11;Aktergatan
18.1047549;59.3021299;12;Aktergatan
18.1044421;59.3023017;13;Aktergatan
18.1049396;59.3022438;14;Aktergatan
18.1051029;59.3023641;16;Aktergatan
18.1045905;59.3023866;17;Aktergatan
18.1052664;59.3024845;18;Aktergatan
18.1049053;59.3025437;19;Aktergatan
18.1059021;59.302902;20;Aktergatan
18.1055564;59.3030469;21;Aktergatan
18.1060996;59.30302;22;Aktergatan
18.1053116;59.3031309;23;Aktergatan
18.1060839;59.303204;24;Aktergatan
18.1057824;59.3031228;25;Aktergatan
18.1062462;59.3031881;26;Aktergatan
18.1058943;59.3032085;27;Aktergatan
18.1055759;59.3034645;29;Aktergatan
18.0214033;59.3344769;1;Akutvägen
18.0213984;59.3344097;2;Akutvägen
18.0215025;59.3345298;3;Akutvägen
18.0217207;59.3343642;4;Akutvägen
18.021548;59.3345233;5;Akutvägen
18.0219726;59.3343263;6;Akutvägen
18.0216197;59.3345132;7;Akutvägen
18.0220903;59.3344474;8;Akutvägen
18.0216879;59.3345036;9;Akutvägen
18.0204652;59.3353109;10;Akutvägen
18.0204739;59.335075;11;Akutvägen
18.0190042;59.3358422;12;Akutvägen
18.0204062;59.3351067;13;Akutvägen
18.0203398;59.3351378;15;Akutvägen
18.0192834;59.3355514;25;Akutvägen
18.0188683;59.3357168;27;Akutvägen
18.0184064;59.3358063;29;Akutvägen
18.018004;59.3354825;31;Akutvägen
18.0176137;59.3355082;33;Akutvägen
18.0719348;59.3095081;1;Allhelgonagatan
18.0712823;59.3092149;2;Allhelgonagatan
18.0722953;59.3095552;3;Allhelgonagatan
18.0722292;59.3093421;4;Allhelgonagatan
18.0727051;59.3096087;5;Allhelgonagatan
18.0734544;59.3095265;6;Allhelgonagatan
18.0731944;59.3096727;7;Allhelgonagatan
18.0738018;59.3095739;8;Allhelgonagatan
18.0741709;59.3096217;10;Allhelgonagatan
18.0736668;59.3097742;11;Allhelgonagatan
18.0745418;59.3096706;12;Allhelgonagatan
18.0740483;59.309825;13;Allhelgonagatan
18.0748781;59.3096997;14;Allhelgonagatan
18.0744126;59.3098737;15;Allhelgonagatan
18.097025;59.324463;1;Allmänna Gränd
18.0971495;59.3246589;2;Allmänna Gränd
18.0957955;59.3242329;3;Allmänna Gränd
18.0960521;59.3243428;3A;Allmänna Gränd
18.0968346;59.3246736;4;Allmänna Gränd
18.0963288;59.3245726;6;Allmänna Gränd
18.0952085;59.3243906;8;Allmänna Gränd
18.0770418;59.3336779;1;Almlöfsgatan
